term,name,ename,sex,party,partyGroup,areaName,committee,onboardDate,degree,tel,experience,fax,addr,picUrl,leaveFlag,leaveDate,leaveReason
10,吳玉琴,Wu Yu-Chin,女,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第10屆第1會期：司法及法制委員會;第10屆第1會期：程序委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：程序委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：程序委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第4會期：程序委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：程序委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第6會期：程序委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第7會期：程序委員會;,2020/02/01,東海大學社會工作所碩士;政治大學社會學系學士,國會研究室：02-2358-6046,中華民國老人推動聯盟 秘書長財團法人導航基金會 執行長台灣社會福利總盟 理事長,國會研究室：02-2358-6050,國會研究室：100224台北市中正區濟南路1段3之1號0402室,http://www.ly.gov.tw//Images/Legislators/100011.jpg,否,,
10,吳怡玎,WuI-Ding,女,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第10屆第1會期：司法及法制委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：內政委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：程序委員會;第10屆第6會期：教育及文化委員會;第10屆第6會期：程序委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;,2020/02/01,英國倫敦帝國理工學院統計博士;英國南安普敦大學運籌碩士;國立臺灣大學管理學士,國會研究室：02-2358-6231,高盛集團副總裁投資管理認證,國會研究室：02-2358-6235,國會研究室：100221台北市中正區青島東路1號3406室,http://www.ly.gov.tw//Images/Legislators/100012.jpg,否,,
10,吳秉叡,WuPing-Jui,男,民主進步黨,民主進步黨,新北市第4選舉區,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第2會期：紀律委員會;第10屆第3會期：財政委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;,2020/02/01,士林國小;士林國中;成功高中;國立政治大學法律系法學組學士;國立政治大學法律研究所碩士;司法官訓練所29期,國會研究室：02-2358-6851;新北總服務處：02-8522-5786;大新莊服務處：02-2276-8287;福營服務處：02-2208-3852,野百合學運政大學生代表臺東地方法院法官、律師臺灣司法改革連線成員、凱達格蘭學校國策班第1期臺北縣政府縣長機要秘書第6屆立法委員民進黨臺北縣、新北市黨部主委第8屆不分區立法委員、第4、5會期民進黨立法院黨團書記長第9屆區域立法委員、第1、2會期民進黨立法院黨團幹事長,國會研究室：02-2358-6859;新北總服務處：02-8522-5726;大新莊服務處：02-2277-5657;福營服務處：02-2208-3853,國會研究室：100224台北市中正區濟南路1段3之1號0902室;新北總服務處：242043新北市新莊區化成路814巷1號;大新莊服務處：242026新北市新莊區中原路327號1樓;福營服務處：242051新北市新莊區後港一路130巷17號1樓,http://www.ly.gov.tw//Images/Legislators/100013.jpg,否,,
10,吳思瑤,WuSzu-Yao,女,民主進步黨,民主進步黨,臺北市第1選舉區,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：紀律委員會;第10屆第2會期：修憲委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：修憲委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;,2020/02/01,臺灣大學政治學研究所碩士;輔仁大學西語系、日語系文學雙學士,國會研究室：02-2358-8131;北投服務處：02-2820-5800,臺北市議員(第10、11、12屆)臺北市議會民進黨團總召集人2010美國國務院國際訪問領袖計畫台灣政治人物代表民進黨中常委、中執委、中評委、發言人第9屆立法委員,國會研究室：02-2358-8135;北投服務處：02-2820-3500,國會研究室：100221台北市中正區青島東路1號3108室;北投服務處：112059臺北市北投區承德路七段196號,http://www.ly.gov.tw//Images/Legislators/100014.jpg,否,,
10,吳斯懷,WuSz-Huai,男,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：司法及法制委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：外交及國防委員會;第10屆第5會期：程序委員會;第10屆第6會期：外交及國防委員會;第10屆第6會期：程序委員會;第10屆第7會期：外交及國防委員會;第10屆第7會期：程序委員會;,2020/02/01,陸軍官校43期;國防大學陸軍指參學院74年班;國防大學戰爭學院80年班,國會研究室：02-2358-6901,國防部參謀本部作戰及計畫參謀次長聯準室主任陸軍司令部情報署長作戰署長澎防部指揮官六軍團指揮官教準部指揮官陸軍副司令,國會研究室：02-2358-6905,國會研究室：100224台北市中正區濟南路1段3之1號2112室,http://www.ly.gov.tw//Images/Legislators/100015.jpg,否,,
10,吳琪銘,Wu Chi-Ming,男,民主進步黨,民主進步黨,新北市第10選舉區,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第7會期：司法及法制委員會;,2020/02/01,世新大學企業管理學系碩士,國會研究室：02-2358-6316;土城服務處：02-2270-1580;三峽服務處：02-2673-2636,立法院民進黨團副書記長新北市消防局義勇消防隊第五大隊大隊長新北市雲林同鄉會總召集人新北市慢速壘球委員會理事長新北市礦工協會榮譽理事長大漢溪文教基金會常務董事新北市議員台北縣議員任務型國大代表土城市市民代表,國會研究室：02-2358-6320;土城服務處：02-2270-0802;三峽服務處：02-8671-6968,國會研究室：100224臺北市中正區濟南路1段3-1號0606室;土城服務處：236003新北市土城區金城路三段172-1號;三峽服務處：237001新北市三峽區中正路一段218號,http://www.ly.gov.tw//Images/Legislators/100016.jpg,否,,
10,呂玉玲,Lu Yu-Ling,女,中國國民黨,中國國民黨,桃園市第5選舉區,第10屆第1會期：外交及國防委員會;第10屆第1會期：紀律委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;,2020/02/01,中原大學商學院企業管理學系碩士;桃園創新技術學院企業管理系;育達商職;中壢國中;中壢國小,國會研究室：02-2358-6836;平鎮服務處：03-401-5616;龍潭服務處：03-409-6688,第八、九、十屆立法委員珍珠國際同濟會第十屆會長婦聯青溪桃園縣支會主任委員桃園市守望相助大隊平鎮中隊中隊長國立中央大學客家書院執行委員平鎮市社區營造協會理事長平鎮市體育會理事長桃園縣平鎮市婦女會理事長,國會研究室：02-2358-6840;平鎮服務處：03-401-0616;龍潭服務處：03-409-7899,國會研究室：100224台北市中正區濟南路1段3之1號0903室;平鎮服務處：324008桃園市平鎮區復興街68號;龍潭服務處：325012桃園市龍潭區華南路一段135號,http://www.ly.gov.tw//Images/Legislators/100017.jpg,否,,
10,李昆澤,LeeKun-Tse,男,民主進步黨,民主進步黨,高雄市第5選舉區,第10屆第1會期：交通委員會;第10屆第1會期：紀律委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;,2020/02/01,國立高雄科技大學國際企業系博士班;國立中山大學政治學碩士;輔仁大學歷史系,國會研究室：02-2358-6086;高雄服務處：07-386-8292,蔡英文主席特助     陳定南立委特助第六、八、九屆立法委員（交通委員會召委）第六屆高雄市議員（民進黨團總召）第三屆國大代表（修憲小組召集人）高雄縣政府新聞室主任  台灣人權促進會總幹事台灣人權雜誌總主筆   台灣環保聯盟幹事電器維修工  成衣廠縫紉機維修工,國會研究室：02-2358-6090;高雄服務處：07-386-3277,國會研究室：100224台北市中正區濟南路1段3之1號0306室;高雄服務處：807043高雄市三民區大昌二路63號,http://www.ly.gov.tw//Images/Legislators/100018.jpg,否,,
10,李貴敏,Lee Guei-Min,女,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第10屆第1會期：司法及法制委員會;第10屆第1會期：紀律委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：紀律委員會;第10屆第2會期：修憲委員會;第10屆第3會期：財政委員會;第10屆第3會期：修憲委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：財政委員會;第10屆第4會期：經費稽核委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;,2020/02/01,美國太平洋大學法學博士、法學碩士;國立政治大學法學碩士,國會研究室：02-2358-6707,國立交通大學兼任教授東吳大學兼任副教授第八屆立法委員,國會研究室：02-2358-6710,國會研究室：100224台北市中正區濟南路1段3之1號0705室,http://www.ly.gov.tw//Images/Legislators/100019.jpg,否,,
10,李德維,LeeDe-Wei,男,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第10屆第1會期：教育及文化委員會;第10屆第1會期：程序委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：程序委員會;第10屆第2會期：修憲委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：程序委員會;第10屆第4會期：教育及文化委員會;第10屆第4會期：程序委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：內政委員會;第10屆第6會期：程序委員會;第10屆第6會期：經費稽核委員會;第10屆第7會期：內政委員會;第10屆第7會期：程序委員會;第10屆第7會期：經費稽核委員會;,2020/02/01,美國北愛荷華州立大學政治學碩士;東吳大學歷史系學士,國會研究室：02-2358-6781,國會助理憲兵士官大學講師青年發展基金會執行長台北市第一中央獅子會會長中國國民黨中央常務委員,國會研究室：02-2358-6785,國會研究室：100024台北市中正區濟南路1段3之1號0906室,http://www.ly.gov.tw//Images/Legislators/100020.jpg,否,,
10,沈發惠,ShenFa-Hui,男,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第2會期：內政委員會;第10屆第2會期：程序委員會;第10屆第2會期：紀律委員會;第10屆第3會期：財政委員會;第10屆第3會期：程序委員會;第10屆第4會期：財政委員會;第10屆第4會期：程序委員會;第10屆第5會期：財政委員會;第10屆第5會期：程序委員會;第10屆第5會期：紀律委員會;第10屆第6會期：財政委員會;第10屆第6會期：程序委員會;第10屆第7會期：財政委員會;第10屆第7會期：程序委員會;,2020/02/01,東海大學法律系;台大政治學碩士,國會研究室：02-2358-6176;汐止服務處：02-2648-1647,野百合學運決策小組成員第十四、十五屆台北縣議員第六屆立法委員第一、二屆新北市議員民進黨中常委東南科技大學講師,國會研究室：02-2358-6180;汐止服務處：02-2643-3105,國會研究室：100224台北市中正區濟南路1段3之1號0305室;汐止服務處：221028新北市汐止區新昌路55號,http://www.ly.gov.tw//Images/Legislators/100021.jpg,否,,
10,周春米,Chou Chun-Mi,女,民主進步黨,民主進步黨,全國不分區及僑居國外國民,第10屆第1會期：司法及法制委員會;第10屆第1會期：程序委員會;第10屆第1會期：紀律委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：程序委員會;第10屆第2會期：修憲委員會;第10屆第3會期：教育及文化委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：教育及文化委員會;第10屆第4會期：程序委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;,2020/02/01,高雄女中;臺大法律學系法學組畢業,國會研究室：02-2358-8181;屏東服務處：08-733-8312;東港服務處：08-832-2331;恆春服務處：08-888-0888;內埔服務處：08-778-6756;潮州服務處：08-789-0890,台灣高雄、屏東地方法院法官執業律師屏東律師公會第28屆理事長中華民國第九屆立法委員立法院民主進步黨黨團副書記長、副幹事長立法院第九屆第六、七、八會期司法與法制委員會召集委員,國會研究室：02-2358-8185;屏東服務處：08-734-9877;東港服務處：08-832-2337;恆春服務處：08-889-9322,國會研究室：100224台北市中正區濟南路1段3之1號0603室;屏東服務處：900007屏東縣屏東市忠孝路149-3號;東港服務處：928007屏東縣東港鎮長春二路90號;恆春服務處：946001屏東縣恆春鎮恆南路74-1號;內埔服務處：912015屏東縣內埔鄉東寧村南寧路112號;潮州服務處：920003屏東縣潮州鎮盧山路45號,http://www.ly.gov.tw//Images/Legislators/100022.jpg,是,2022/12/25,辭職
10,林文瑞,LinWen-Jui,男,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：內政委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：內政委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第6會期：紀律委員會;第10屆第7會期：內政委員會;,2020/02/01,國立雲林科技大學－環境與安全衛生研究所碩士,國會研究室：02-2358-6196;虎尾服務處：05-632-3300,雲林農田水利會會長農田水利會聯合會會長,國會研究室：02-2358-6200;虎尾服務處：05-631-2123,國會研究室：100224台北市中正區濟南路1段3之1號0208室;虎尾服務處：632111雲林縣虎尾鎮新吉里136-1號,http://www.ly.gov.tw//Images/Legislators/100023.jpg,否,,
10,林宜瑾,Lin I-Chin,女,民主進步黨,民主進步黨,臺南市第4選舉區,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;,2020/02/01,成功大學政治經濟學碩士;東吳大學社會學系;家齊女中,國會研究室：02-2358-8316;永康服務處：06-233-9399,台南六屆議員民進黨中常委、中執委、中評委台南慢壘協會理事長台南身心障礙者體育協會創會理事長台南教師會、教育產業工會、環保局工會顧問台南醫師、建築師、建商公會顧問陳水扁及蔡英文總統造勢主持人賴清德國大代表服務處主任林義雄核四公投活動部主任野百合學運校際代表,國會研究室：02-2358-8320;永康服務處：06-233-9441,國會研究室：100224台北市中正區濟南路1段3之1號0806室;永康服務處：710031台南市永康區中山南路473號,http://www.ly.gov.tw//Images/Legislators/100024.jpg,否,,
10,林岱樺,Lin Tai-Hua,女,民主進步黨,民主進步黨,高雄市第4選舉區,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;,2020/02/01,私立輔仁大學德文系畢業;美國威斯康辛大學大眾傳播碩士;德國卡賽爾綜合大學德語教學研究結業;台北大學企管博士班研究,國會研究室：02-2358-8021;大寮服務處：07-781-8117,第5、6、7、8、9、10屆立法委員行政院青輔會主委民進黨第10、11屆中央執行委員民進黨第14屆中央評議委員,國會研究室：02-2358-8030;大寮服務處：07-781-8167,國會研究室：100224台北市中正區濟南路1段3之1號0706室;大寮服務處：831140高雄市大寮區力行路61號,http://www.ly.gov.tw//Images/Legislators/100025.jpg,否,,
10,林俊憲,Lin Chun-Hsien,男,民主進步黨,民主進步黨,臺南市第5選舉區,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第5會期：紀律委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;,2020/02/01,日新國小;大成國中;台南一中畢業;國立成功大學企管系畢業;美國密蘇里大學企管碩士(U of Missouri-MBA);國立臺灣大學國家發展研究所博士班,國會研究室：02-2358-6931;東區服務處：06-209-1120;安平、南區服務處：06-292-1235;中西區服務處：06-299-8266,長榮大學國際企業系兼任講師臺南市第14屆市議員臺南市第15屆市議員臺南市第16屆市議員賴清德競選臺南市長執行總幹事民主進步黨中央黨部發言人民主進步黨中執委立法院第九屆立法委員,國會研究室：02-2358-6935;東區服務處：06-209-1150;安平、南區服務處：06-261-2117;中西區服務處：06-299-8286,國會研究室：100224台北市中正區濟南路1段3之1號1006室;東區服務處：701041臺南市東區凱旋路225號;安平、南區服務處：702014臺南市南區中華西路一段234號;中西區服務處：700021台南市中西區永華路一段305號,http://www.ly.gov.tw//Images/Legislators/100026.jpg,否,,
